,accuracy,precision,f1,recall,aupr,auc
dm_pnet_809_0,0.8921568627450981,0.8108108108108109,0.8450704225352113,0.8823529411764706,0.9027951296432897,0.9467993079584776
dm_pnet_809_1,0.8823529411764706,0.8055555555555556,0.8285714285714286,0.8529411764705882,0.908567740794786,0.9506920415224913
dm_pnet_809_2,0.8921568627450981,0.8108108108108109,0.8450704225352113,0.8823529411764706,0.9051814833379629,0.9502595155709342
dm_pnet_809_3,0.8823529411764706,0.7894736842105263,0.8333333333333333,0.8823529411764706,0.9080660676336612,0.9502595155709342
dm_pnet_809_4,0.8823529411764706,0.8055555555555556,0.8285714285714286,0.8529411764705882,0.9051416903692032,0.9467993079584776
dm_pnet_581_0,0.8235294117647058,0.75,0.7272727272727272,0.7058823529411765,0.8686926569930163,0.9307958477508651
dm_pnet_581_1,0.8235294117647058,0.75,0.7272727272727272,0.7058823529411765,0.8569041499536161,0.9247404844290658
dm_pnet_581_2,0.8235294117647058,0.75,0.7272727272727272,0.7058823529411765,0.8688666801377601,0.9286332179930795
dm_pnet_581_3,0.8333333333333334,0.7575757575757576,0.746268656716418,0.7352941176470589,0.8629506164362307,0.9225778546712802
dm_pnet_581_4,0.8431372549019608,0.78125,0.7575757575757576,0.7352941176470589,0.8612881020037908,0.9282006920415224
dm_pnet_418_0,0.8431372549019608,0.78125,0.7575757575757576,0.7352941176470589,0.838014940275547,0.9277681660899655
dm_pnet_418_1,0.8431372549019608,0.78125,0.7575757575757576,0.7352941176470589,0.8511138727582264,0.9312283737024221
dm_pnet_418_2,0.8431372549019608,0.78125,0.7575757575757576,0.7352941176470589,0.8462188824224638,0.9294982698961938
dm_pnet_418_3,0.8431372549019608,0.78125,0.7575757575757576,0.7352941176470589,0.8515080347308137,0.9333910034602075
dm_pnet_418_4,0.8529411764705882,0.8064516129032258,0.7692307692307693,0.7352941176470589,0.8416191501031236,0.9312283737024221
dm_pnet_300_0,0.8725490196078431,0.8387096774193549,0.7999999999999999,0.7647058823529411,0.8816464190987608,0.9463667820069204
dm_pnet_300_1,0.8725490196078431,0.8387096774193549,0.7999999999999999,0.7647058823529411,0.8861737432568005,0.945069204152249
dm_pnet_300_2,0.8725490196078431,0.8387096774193549,0.7999999999999999,0.7647058823529411,0.8838621357146906,0.9472318339100345
dm_pnet_300_3,0.8823529411764706,0.84375,0.8181818181818182,0.7941176470588235,0.8943766535366816,0.9498269896193772
dm_pnet_300_4,0.8725490196078431,0.8387096774193549,0.7999999999999999,0.7647058823529411,0.8942946952575103,0.9480968858131489
dm_pnet_216_0,0.8725490196078431,0.8620689655172413,0.7936507936507937,0.7352941176470589,0.8790017018913424,0.9364186851211073
dm_pnet_216_1,0.8725490196078431,0.8620689655172413,0.7936507936507937,0.7352941176470589,0.8639030155467929,0.935121107266436
dm_pnet_216_2,0.8725490196078431,0.8620689655172413,0.7936507936507937,0.7352941176470589,0.8860736503786175,0.9381487889273357
dm_pnet_216_3,0.8725490196078431,0.8620689655172413,0.7936507936507937,0.7352941176470589,0.8842008173721203,0.9420415224913495
dm_pnet_216_4,0.8725490196078431,0.8620689655172413,0.7936507936507937,0.7352941176470589,0.8775551745042002,0.9385813148788927
dm_pnet_155_0,0.8137254901960784,0.8260869565217391,0.6666666666666667,0.5588235294117647,0.8591664266818938,0.9117647058823529
dm_pnet_155_1,0.8137254901960784,0.8,0.6779661016949153,0.5882352941176471,0.841149692139795,0.9009515570934257
dm_pnet_155_2,0.803921568627451,0.85,0.6296296296296295,0.5,0.848639263135961,0.9065743944636678
dm_pnet_155_3,0.7941176470588235,0.8095238095238095,0.6181818181818182,0.5,0.8395708368464261,0.9074394463667821
dm_pnet_155_4,0.8235294117647058,0.8076923076923077,0.7,0.6176470588235294,0.8401623949686114,0.9061418685121106
dm_pnet_111_0,0.7941176470588235,0.9333333333333333,0.5714285714285713,0.4117647058823529,0.8542996005335248,0.9087370242214533
dm_pnet_111_1,0.7843137254901961,0.9285714285714286,0.5416666666666667,0.38235294117647056,0.8591253755745418,0.9117647058823529
dm_pnet_111_2,0.7843137254901961,0.9285714285714286,0.5416666666666667,0.38235294117647056,0.854079094590724,0.9091695501730104
dm_pnet_111_3,0.7745098039215687,1.0,0.48888888888888893,0.3235294117647059,0.8524555868162829,0.9065743944636678
dm_pnet_111_4,0.803921568627451,0.9375,0.6,0.4411764705882353,0.8485210560173125,0.9052768166089965
pnet_809_0,0.8823529411764706,0.84375,0.8181818181818182,0.7941176470588235,0.8764701020804099,0.9346885813148789
pnet_809_1,0.8627450980392157,0.8125,0.787878787878788,0.7647058823529411,0.8635450277235519,0.9234429065743945
pnet_809_2,0.8627450980392157,0.8125,0.787878787878788,0.7647058823529411,0.8661314488276042,0.9256055363321799
pnet_809_3,0.8627450980392157,0.8125,0.787878787878788,0.7647058823529411,0.8747763090577594,0.9325259515570934
pnet_809_4,0.8725490196078431,0.8181818181818182,0.8059701492537314,0.7941176470588235,0.8814336751471452,0.9364186851211074
pnet_581_0,0.8137254901960784,0.7419354838709677,0.7076923076923077,0.6764705882352942,0.8247398808898413,0.916955017301038
pnet_581_1,0.8235294117647058,0.7666666666666667,0.71875,0.6764705882352942,0.8293300873982945,0.9152249134948097
pnet_581_2,0.8333333333333334,0.7931034482758621,0.7301587301587301,0.6764705882352942,0.8234478592420496,0.9147923875432525
pnet_581_3,0.8333333333333334,0.7931034482758621,0.7301587301587301,0.6764705882352942,0.8337478556826177,0.9186851211072665
pnet_581_4,0.8235294117647058,0.7666666666666667,0.71875,0.6764705882352942,0.8298321665563122,0.9143598615916955
pnet_418_0,0.8431372549019608,0.8,0.7500000000000001,0.7058823529411765,0.8334179099349043,0.9312283737024222
pnet_418_1,0.8529411764705882,0.8064516129032258,0.7692307692307693,0.7352941176470589,0.821523335761344,0.9182525951557095
pnet_418_2,0.8529411764705882,0.8064516129032258,0.7692307692307693,0.7352941176470589,0.8231977655419868,0.9204152249134947
pnet_418_3,0.8529411764705882,0.8064516129032258,0.7692307692307693,0.7352941176470589,0.8278988436485719,0.9230103806228374
pnet_418_4,0.8627450980392157,0.8333333333333334,0.78125,0.7352941176470589,0.8244722119888179,0.9208477508650519
pnet_300_0,0.8529411764705882,0.8275862068965517,0.7619047619047619,0.7058823529411765,0.8434801195806481,0.929930795847751
pnet_300_1,0.8431372549019608,0.8,0.7500000000000001,0.7058823529411765,0.8511070136685525,0.9355536332179931
pnet_300_2,0.8529411764705882,0.8064516129032258,0.7692307692307693,0.7352941176470589,0.842716325750917,0.9316608996539792
pnet_300_3,0.8431372549019608,0.8,0.7500000000000001,0.7058823529411765,0.8467523188284424,0.9329584775086506
pnet_300_4,0.8529411764705882,0.8275862068965517,0.7619047619047619,0.7058823529411765,0.8503837527082543,0.935553633217993
pnet_216_0,0.8333333333333334,0.8148148148148148,0.7213114754098361,0.6470588235294118,0.8382582626663039,0.929930795847751
pnet_216_1,0.8431372549019608,0.8461538461538461,0.7333333333333334,0.6470588235294118,0.8365764476909257,0.9282006920415226
pnet_216_2,0.8333333333333334,0.8148148148148148,0.7213114754098361,0.6470588235294118,0.8351548603141803,0.9286332179930796
pnet_216_3,0.8333333333333334,0.84,0.711864406779661,0.6176470588235294,0.8317068011005503,0.9273356401384083
pnet_216_4,0.8333333333333334,0.84,0.711864406779661,0.6176470588235294,0.8494993938282877,0.9333910034602076
pnet_155_0,0.803921568627451,0.7916666666666666,0.6551724137931034,0.5588235294117647,0.8444710871096162,0.9022491349480969
pnet_155_1,0.7941176470588235,0.782608695652174,0.631578947368421,0.5294117647058824,0.8350797511159973,0.9035467128027682
pnet_155_2,0.7647058823529411,0.75,0.5555555555555556,0.4411764705882353,0.820862026801371,0.8961937716262977
pnet_155_3,0.7941176470588235,0.8823529411764706,0.5882352941176471,0.4411764705882353,0.8491261561736991,0.9026816608996541
pnet_155_4,0.7843137254901961,0.7727272727272727,0.6071428571428571,0.5,0.8346968222543757,0.8966262975778547
pnet_111_0,0.7647058823529411,1.0,0.45454545454545453,0.29411764705882354,0.8475901788371806,0.9018166089965397
pnet_111_1,0.7843137254901961,0.9285714285714286,0.5416666666666667,0.38235294117647056,0.828589393690123,0.8918685121107266
pnet_111_2,0.7745098039215687,0.9230769230769231,0.5106382978723405,0.35294117647058826,0.8323685447299678,0.8996539792387543
pnet_111_3,0.7647058823529411,1.0,0.45454545454545453,0.29411764705882354,0.8422710167424029,0.902681660899654
pnet_111_4,0.7745098039215687,0.9230769230769231,0.5106382978723405,0.35294117647058826,0.8561740912672315,0.9108996539792388
