2023-08-06 18:21:56 - INFO: - {'accuracy': 0.8823529411764706, 'precision': 0.7894736842105263, 'f1': 0.8333333333333333, 'recall': 0.8823529411764706, 'aupr': 0.9082105437644646, 'auc': 0.9498269896193772}
2023-08-06 18:31:28 - INFO: - {'accuracy': 0.8921568627450981, 'precision': 0.8108108108108109, 'f1': 0.8450704225352113, 'recall': 0.8823529411764706, 'aupr': 0.9028310740601139, 'auc': 0.948961937716263}
2023-08-06 18:41:16 - INFO: - {'accuracy': 0.8823529411764706, 'precision': 0.8055555555555556, 'f1': 0.8285714285714286, 'recall': 0.8529411764705882, 'aupr': 0.9038408595815933, 'auc': 0.9476643598615917}
2023-08-06 18:51:58 - INFO: - {'accuracy': 0.8725490196078431, 'precision': 0.7692307692307693, 'f1': 0.8219178082191781, 'recall': 0.8823529411764706, 'aupr': 0.9028034463833845, 'auc': 0.9455017301038062}
2023-08-06 19:04:34 - INFO: - {'accuracy': 0.8823529411764706, 'precision': 0.8055555555555556, 'f1': 0.8285714285714286, 'recall': 0.8529411764705882, 'aupr': 0.9055616793888794, 'auc': 0.9472318339100345}
2023-08-06 19:20:15 - INFO: - {'accuracy': 0.8823529411764706, 'precision': 0.7894736842105263, 'f1': 0.8333333333333333, 'recall': 0.8823529411764706, 'aupr': 0.9070126068096483, 'auc': 0.94939446366782}
2023-08-06 19:33:08 - INFO: - {'accuracy': 0.8823529411764706, 'precision': 0.7894736842105263, 'f1': 0.8333333333333333, 'recall': 0.8823529411764706, 'aupr': 0.8997379376710117, 'auc': 0.9437716262975779}
2023-08-06 19:45:06 - INFO: - {'accuracy': 0.8921568627450981, 'precision': 0.8108108108108109, 'f1': 0.8450704225352113, 'recall': 0.8823529411764706, 'aupr': 0.9030476922844097, 'auc': 0.9498269896193772}
2023-08-06 20:00:30 - INFO: - {'accuracy': 0.8725490196078431, 'precision': 0.7837837837837838, 'f1': 0.8169014084507041, 'recall': 0.8529411764705882, 'aupr': 0.9030963548363786, 'auc': 0.9476643598615917}
2023-08-06 20:14:08 - INFO: - {'accuracy': 0.8823529411764706, 'precision': 0.8055555555555556, 'f1': 0.8285714285714286, 'recall': 0.8529411764705882, 'aupr': 0.9042451550817503, 'auc': 0.9480968858131488}
2023-08-06 20:27:52 - INFO: - {'accuracy': 0.8921568627450981, 'precision': 0.8108108108108109, 'f1': 0.8450704225352113, 'recall': 0.8823529411764706, 'aupr': 0.9047352465958522, 'auc': 0.9472318339100345}
