Unnamed: 0,R-HSA-8941326,R-HSA-6798695,R-HSA-983168,R-HSA-5689880,R-HSA-3371497,R-HSA-5633007,R-HSA-5628897,R-HSA-9013149,R-HSA-6811558,R-HSA-216083,R-HSA-9662360,R-HSA-1989781,R-HSA-3000178,R-HSA-8948751,R-HSA-202424,R-HSA-8943724,R-HSA-114608,R-HSA-419037,R-HSA-9694516,R-HSA-8856825,R-HSA-8951664,R-HSA-162587,R-HSA-2132295,R-HSA-8980692,R-HSA-6785807,R-HSA-5689896,R-HSA-1660499,R-HSA-445989,R-HSA-166166,R-HSA-381340
AR,1.029431,0.18067789,-0.16521032,1.0240422,1.036451,0.17954709,0.20459299,-0.17132907,-0.18949744,-0.19048,-0.1794257,-0.1753788,-0.1715092,-0.21332024,0.20889655,0.21865161,0.16334079,-0.19088459,-0.17271207,0.17857274,0.121767715,-0.16445488,0.19026788,-0.15721872,0.2034434,0.22336848,0.18604793,0.20174393,0.18481757,-0.17871559
TP53,0.08931746,0.09535484,-0.064368464,0.9167331,0.10613941,0.8641712,0.8760896,0.07459599,-0.055876188,-0.05630409,-0.056115665,-0.03529727,0.04637186,0.06779623,-0.07823067,0.88395846,0.0583526,0.05901085,-0.04481309,-0.049549203,-0.050642375,0.061455775,0.038449313,0.04716695,0.87824523,0.8891386,-0.059327647,0.9262377,0.8714803,-0.06832817
PTEN,0.12430339,-0.11185768,-0.07413187,0.9303585,0.12174061,-0.08460457,0.905515,-0.09377984,-0.07998674,0.09787173,-0.074038304,-0.085152976,-0.10428383,0.90160507,0.8826103,0.9164473,0.09522984,0.09968678,-0.07963323,0.08057269,0.0904113,-0.08681092,-0.09485243,-0.10645365,-0.13311584,0.92850345,0.87737554,-0.12265208,0.11727163,0.08912638
SMC2,0.015150364,0.09404411,-0.073604174,-0.1172878,-0.14937848,0.18076533,-0.15313324,0.15749191,-0.11242218,0.15284583,-0.14714475,0.0,-0.13603531,0.13922478,0.13430305,0.14287683,-0.14377148,-0.10927736,0.14343314,-0.12983136,-0.14140813,-0.12425499,0.029373435,0.0989565,-0.111275755,0.14983158,-0.1018335,-0.043695062,-0.14096989,0.0909467
COL11A1,-0.15682895,-0.15980007,0.16109228,-0.18221633,-0.18144651,0.15139033,-0.14635809,0.13455415,-0.14352706,0.13579851,-0.13137047,0.14508702,-0.13471036,-0.16072594,0.1564789,0.16428824,0.14853132,-0.16212624,-0.12222447,-0.13808995,-0.13281617,-0.14295807,-0.13576654,-0.14225096,-0.17333364,0.15225714,0.15825264,-0.13704975,0.17466985,-0.16425252
FNDC1,-0.14696077,0.1456414,0.13269253,0.12026422,-0.13494778,-0.13056448,0.15051417,0.1069091,-0.13144638,-0.14445475,-0.13490385,0.12804827,0.138712,0.15230593,0.16008759,-0.1476482,0.12898718,0.121749535,0.13353582,-0.15653141,-0.13622078,0.10872006,-0.1286959,0.14455397,-0.13379544,-0.1369373,-0.10511035,-0.13625114,0.15078878,-0.105687305
ITGAM,0.1393987,0.88716614,-0.11704499,0.14487462,-0.13519828,0.11986439,-0.11207077,0.076499835,-0.12123374,0.936142,0.11753045,0.11416306,-0.09555537,0.12360535,-0.13628781,-0.12298781,0.10212925,0.1366003,-0.07282707,-0.111588664,0.07681503,0.108399,0.11057774,-0.10194714,0.8954982,-0.124442585,-0.1265933,-0.12057727,0.12980951,-0.10652474
MUC16,-0.06836195,0.067202225,-0.05471006,0.10506785,-0.08372147,0.081226535,0.07181427,-0.05514787,-0.06562914,0.0707721,-0.07931483,0.08212288,-0.06071993,0.066698045,0.09366322,0.10078732,0.07136631,0.07630396,0.04323122,0.0870198,0.069548175,0.057192713,0.06770943,0.052133065,0.07481871,-0.08449806,-0.08393523,0.078145005,-0.06870966,0.052021045
TP53BP1,-0.14401716,-0.102466,0.14536501,0.14939712,0.14923504,-0.16012163,-0.15337622,-0.14292242,-0.17233844,0.14413524,0.14751077,-0.15491219,0.17978701,0.13728693,0.14165108,0.18383294,0.15610483,0.13586724,-0.10847705,-0.14016742,-0.13137455,0.11081479,-0.14480506,0.13248548,0.1447527,-0.1444013,0.12033163,-0.14154184,0.15124306,-0.15450695
DIXDC1,0.21757454,-0.20900805,0.19391589,0.19169077,0.20706382,0.20301943,0.17526434,-0.19913384,0.18286496,-0.18579555,-0.20036589,0.21384783,0.187738,-0.20372954,0.19220227,-0.18315555,0.20064221,0.19493425,0.17671251,-0.20522663,-0.21722573,0.18361472,-0.19487415,0.18198754,-0.18621726,0.18991895,-0.20889154,0.19154441,-0.20716624,-0.2007899
